======================================================
                      RUN OVERVIEW                   
======================================================
| Event                                         |  #  |  %   |
[2022-02-08 14:41:22,368] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:41:25,458] DEBUG      Could not find any of the above templates
[2022-02-08 14:41:25,458] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:41:28,892] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:41:30,009] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:41:30,047] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:41:30,047] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:41:38,934] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:41:39,345] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:41:39,365] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:41:42,025] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

19) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:41:42,025] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:41:43,557] WARNING    End failed game: Elpased time: 42.94s Fails: 5
[2022-02-08 14:41:44,494] INFO       Starting game #19
[2022-02-08 14:41:44,494] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:41:45,109] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:41:45,110] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:41:45,142] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:41:45,143] DEBUG      Wait for Play button
[2022-02-08 14:41:50,227] DEBUG      Found Play Btn
[2022-02-08 14:41:50,573] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:41:50,647] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:41:53,234] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:41:55,939] DEBUG      Found Match: A4_TOWN_5 (89.5% confidence)
[2022-02-08 14:41:56,157] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:41:56,925] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:41:56,964] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:41:56,964] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:42:02,742] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:42:02,768] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:42:04,759] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:42:07,813] DEBUG      Could not find any of the above templates
[2022-02-08 14:42:07,814] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:42:11,276] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:42:12,246] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:42:12,280] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:42:12,280] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:42:21,186] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:42:21,570] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:42:21,599] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:42:23,882] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

20) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:42:23,882] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:42:25,412] WARNING    End failed game: Elpased time: 40.92s Fails: 6
[2022-02-08 14:42:26,568] INFO       Starting game #20
[2022-02-08 14:42:26,569] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:42:27,220] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:42:27,221] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:42:27,258] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:42:27,258] DEBUG      Wait for Play button
[2022-02-08 14:42:32,143] DEBUG      Found Play Btn
[2022-02-08 14:42:32,524] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:42:32,597] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:42:35,143] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:42:37,838] DEBUG      Found Match: A4_TOWN_4 (89.3% confidence)
[2022-02-08 14:42:38,126] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:42:38,893] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:42:38,942] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:42:38,942] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:42:44,543] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:42:44,562] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:42:46,510] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:42:49,569] DEBUG      Could not find any of the above templates
[2022-02-08 14:42:49,569] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:42:53,079] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:42:54,115] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:42:54,147] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:42:54,147] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:43:02,984] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:43:03,379] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:43:03,424] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:43:05,818] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

21) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:43:05,818] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:43:07,323] WARNING    End failed game: Elpased time: 40.75s Fails: 7
[2022-02-08 14:43:08,367] INFO       Starting game #21
[2022-02-08 14:43:08,368] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:43:08,992] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:43:08,993] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:43:09,024] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:43:09,025] DEBUG      Wait for Play button
[2022-02-08 14:43:14,721] DEBUG      Found Play Btn
[2022-02-08 14:43:15,241] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:43:15,314] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:43:17,819] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:43:20,599] DEBUG      Found Match: A4_TOWN_5 (89.4% confidence)
[2022-02-08 14:43:20,879] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:43:21,634] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:43:23,379] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:43:23,379] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:43:28,913] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:43:28,938] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:43:30,822] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:43:33,880] DEBUG      Could not find any of the above templates
[2022-02-08 14:43:33,881] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:43:37,344] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:43:38,348] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:43:38,392] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:43:38,393] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:43:47,199] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:43:47,595] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:43:47,620] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:43:50,145] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

22) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:43:50,145] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:43:51,658] WARNING    End failed game: Elpased time: 43.29s Fails: 8
[2022-02-08 14:43:52,597] INFO       Starting game #22
[2022-02-08 14:43:52,597] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:43:53,221] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:43:53,221] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:43:53,259] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:43:53,259] DEBUG      Wait for Play button
[2022-02-08 14:43:58,096] DEBUG      Found Play Btn
[2022-02-08 14:43:58,459] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:43:58,533] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:44:01,050] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:44:03,746] DEBUG      Found Match: A4_TOWN_5 (89.7% confidence)
[2022-02-08 14:44:04,011] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:44:04,773] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:44:04,815] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:44:04,815] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:44:13,949] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:44:13,968] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:44:15,844] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:44:18,901] DEBUG      Could not find any of the above templates
[2022-02-08 14:44:18,902] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:44:22,435] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:44:23,464] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:44:23,501] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:44:23,502] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:44:32,256] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:44:32,645] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:44:32,667] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:44:35,062] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

23) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:44:35,062] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:44:36,580] WARNING    End failed game: Elpased time: 43.98s Fails: 9
[2022-02-08 14:44:37,453] INFO       Starting game #23
[2022-02-08 14:44:37,454] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:44:38,072] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:44:38,073] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:44:38,093] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:44:38,094] DEBUG      Wait for Play button
[2022-02-08 14:44:40,451] DEBUG      Found Play Btn
[2022-02-08 14:44:40,909] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:44:40,984] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:44:43,556] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:44:46,200] DEBUG      Found Match: A4_TOWN_4 (89.5% confidence)
[2022-02-08 14:44:46,438] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:44:47,206] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:44:47,247] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:44:47,247] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:44:52,847] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:44:52,868] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:44:54,893] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:44:57,940] DEBUG      Could not find any of the above templates
[2022-02-08 14:44:57,941] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:45:01,510] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:45:02,468] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:45:02,498] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:45:02,499] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:45:11,471] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:45:11,874] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:45:11,897] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:45:14,420] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

24) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:45:14,420] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:45:15,924] WARNING    End failed game: Elpased time: 38.47s Fails: 10
[2022-02-08 14:45:16,940] INFO       Starting game #24
[2022-02-08 14:45:16,941] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:45:17,592] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:45:17,592] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:45:17,626] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:45:17,627] DEBUG      Wait for Play button
[2022-02-08 14:45:22,463] DEBUG      Found Play Btn
[2022-02-08 14:45:22,809] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:45:22,885] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:45:25,483] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:45:28,148] DEBUG      Found Match: A4_TOWN_5 (89.4% confidence)
[2022-02-08 14:45:28,422] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:45:29,183] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:45:29,234] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:45:29,234] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:45:35,080] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:45:35,103] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:45:36,933] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:45:39,974] DEBUG      Could not find any of the above templates
[2022-02-08 14:45:39,975] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:45:43,381] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:45:44,561] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:45:44,593] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:45:44,593] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:45:53,424] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:45:53,832] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:45:53,854] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:45:56,531] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

25) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:45:56,531] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:45:58,037] WARNING    End failed game: Elpased time: 41.10s Fails: 11
[2022-02-08 14:45:58,763] INFO       Starting game #25
[2022-02-08 14:45:58,764] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK', 'A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:45:59,388] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:45:59,389] DEBUG      Waiting for templates: ['MAIN_MENU_TOP_LEFT', 'MAIN_MENU_TOP_LEFT_DARK']
[2022-02-08 14:45:59,439] DEBUG      Found Match: MAIN_MENU_TOP_LEFT (100.0% confidence)
[2022-02-08 14:45:59,439] DEBUG      Wait for Play button
[2022-02-08 14:46:04,796] DEBUG      Found Play Btn
[2022-02-08 14:46:05,243] DEBUG      Waiting for templates: ['LOADING', 'HELL_BTN']
[2022-02-08 14:46:05,316] DEBUG      Found Match: HELL_BTN (100.0% confidence)
[2022-02-08 14:46:07,933] DEBUG      Waiting for templates: ['A5_TOWN_0', 'A5_TOWN_1', 'A4_TOWN_4', 'A4_TOWN_5', 'A3_TOWN_0', 'A3_TOWN_1', 'A2_TOWN_0', 'A2_TOWN_1', 'A2_TOWN_10', 'A1_TOWN_1', 'A1_TOWN_3']
[2022-02-08 14:46:10,669] DEBUG      Found Match: A4_TOWN_5 (80.8% confidence)
[2022-02-08 14:46:10,981] INFO       Capabilities: CharacterCapabilities(can_teleport_natively=True, can_teleport_with_charges=False)
[2022-02-08 14:46:11,739] DEBUG      Will pickup: {'rejuv': 1, 'health': 0, 'mana': 0}
[2022-02-08 14:46:11,786] INFO       Routine repair. Run count=16, runs_per_repair=2
[2022-02-08 14:46:11,786] DEBUG      Traverse from a4_town_start to a4_halbu
[2022-02-08 14:46:17,349] DEBUG      Waiting for templates: ['REPAIR_BTN']
[2022-02-08 14:46:17,370] DEBUG      Found Match: REPAIR_BTN (100.0% confidence)
[2022-02-08 14:46:19,311] DEBUG      Waiting for templates: ['TP_TOME', 'TP_TOME_RED']
[2022-02-08 14:46:22,360] DEBUG      Could not find any of the above templates
[2022-02-08 14:46:22,360] DEBUG      Traverse from a4_town_start to a4_town_wp
[2022-02-08 14:46:25,854] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:46:26,854] DEBUG      We teleport for quite a while - let's check if we are facetanking a Shrine or Stash
[2022-02-08 14:46:26,883] DEBUG      Did not find the words SHRINE, STASH or PILE on that screenshot. Hm, maybe just a hickup: let's move on with a little jump, before Lucille gets us ...
[2022-02-08 14:46:26,884] DEBUG      Pather: taking a random guess towards (0, 150)
[2022-02-08 14:46:35,655] ERROR      Wanted to select ['A4_WP', 'A4_WP_2'], but could not find it
[2022-02-08 14:46:36,070] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:46:36,092] DEBUG      Found Match: SAVE_AND_EXIT_NO_HIGHLIGHT (100.0% confidence)
[2022-02-08 14:46:38,865] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']

26) ========== [2022-02-08 14:39:19,772] DEBUG      Traverse: [603]
[2022-02-08 14:46:38,865] DEBUG      Waiting for templates: ['SAVE_AND_EXIT_NO_HIGHLIGHT', 'SAVE_AND_EXIT_HIGHLIGHT']
[2022-02-08 14:46:40,374] WARNING    End failed game: Elpased time: 41.61s Fails: 12
[2022-02-08 14:46:41,195] INFO       Starting game #26
